k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
0,0.01,0,0.02,0.01,0.8,0.799,0.801,0.8,3.92835,-0.329027,-0.368155,-0.2899,3.92835
1,0.00857743,0.00323635,0.0139185,0.0096914,0.576164,0.574141,0.578186,0.799953,3.92881,-8.93991,-9.17878,-8.70104,3.92881
2,2.24513,2.22133,2.26894,0.00945928,0.439728,0.436953,0.442503,0.799989,3.89252,-24.6592,-25.3184,-24,3.89252
3,8.16134,8.08025,8.24243,0.00954511,0.309909,0.306525,0.313293,0.799894,3.89316,-54.6583,-56.1264,-53.1902,3.89316
4,18.7179,18.5425,18.8933,0.00965168,0.178764,0.17493,0.182599,0.799767,3.89118,-107.033,-109.945,-104.121,3.89118
5,33.7904,33.4992,34.0815,0.00975861,0.0460087,0.0418502,0.0501671,0.799631,3.89245,-191.071,-196.302,-185.839,3.89245
6,50.0919,49.717,50.4667,0.00999556,-0.0897639,-0.0941634,-0.0853643,0.79961,3.89104,-317.917,-326.808,-309.026,3.89104
7,62.2429,61.8706,62.6152,0.010065,-0.231898,-0.23656,-0.227236,0.799495,3.89236,-507.035,-521.896,-492.174,3.89236
8,68.5975,68.2949,68.9001,0.0101756,-0.381549,-0.386555,-0.376542,0.799517,3.8906,-793.841,-818.552,-769.131,3.8906
9,71.1159,70.8952,71.3365,0.0102871,-0.537856,-0.543279,-0.532433,0.79942,3.89169,-1231.35,-1271.96,-1190.73,3.89169
10,71.5978,71.4443,71.7512,0.0104718,-0.70029,-0.70617,-0.694409,0.799377,3.89058,-1894.39,-1960.14,-1828.65,3.89058
11,70.9802,70.8755,71.0849,0.0105431,-0.86898,-0.875341,-0.86262,0.799277,3.89088,-2890.48,-2995.16,-2785.8,3.89088
12,69.7475,69.6766,69.8184,0.010654,-1.04435,-1.0512,-1.0375,0.799129,3.88943,-4374.9,-4539.07,-4210.72,3.88943
13,68.1681,68.12,68.2161,0.0108916,-1.22685,-1.2342,-1.21951,0.799116,3.89062,-6570.12,-6824.17,-6316.07,3.89062
14,66.3975,66.3648,66.4302,0.0111138,-1.41686,-1.4247,-1.40902,0.79895,3.89054,-9790.29,-10178.8,-9401.79,3.89054
15,64.529,64.5066,64.5515,0.0112774,-1.61457,-1.62291,-1.60623,0.798785,3.88886,-14469.8,-15057.6,-13882,3.88886
16,62.6199,62.6044,62.6354,0.0113564,-1.81999,-1.82883,-1.81115,0.79872,3.88885,-21192.1,-22072.7,-20311.5,3.88885
17,60.7058,60.695,60.7167,0.0114983,-2.03283,-2.04217,-2.02349,0.798732,3.88919,-30710.4,-32016.9,-29403.9,3.88919
18,58.8093,58.8016,58.817,0.011695,-2.25247,-2.26231,-2.24263,0.798606,3.88859,-43943.9,-45862.9,-42024.9,3.88859
19,56.9445,56.9389,56.9501,0.011833,-2.47789,-2.48823,-2.46755,0.798541,3.88781,-61927.6,-64716.4,-59138.8,3.88781
20,55.1202,55.116,55.1243,0.0118856,-2.70758,-2.71842,-2.69674,0.798401,3.88866,-85688.6,-89693.5,-81683.7,3.88866
21,53.3417,53.3385,53.3449,0.0119142,-2.93958,-2.95092,-2.92824,0.798404,3.88836,-116032,-121707,-110357,3.88836
22,51.6121,51.6096,51.6146,0.0119753,-3.17153,-3.18337,-3.15969,0.798375,3.88767,-153242,-161163,-145322,3.88767
23,49.9329,49.9308,49.9349,0.0120992,-3.40069,-3.41303,-3.38835,0.798338,3.88851,-196759,-207627,-185891,3.88851
24,48.3044,48.3027,48.3061,0.0121198,-3.62417,-3.63701,-3.61133,0.798172,3.88741,-244926,-259562,-230290,3.88741
25,46.7266,46.7251,46.728,0.0122287,-3.83911,-3.85245,-3.82577,0.798104,3.8869,-294950,-314268,-275633,3.8869
26,45.1986,45.1972,45.1999,0.012231,-4.04286,-4.0567,-4.02902,0.797992,3.88788,-343159,-368119,-318198,3.88788
27,43.7195,43.7182,43.7207,0.0123869,-4.2332,-4.24754,-4.21886,0.797989,3.88833,-385546,-417101,-353991,3.88833
28,42.2881,42.2869,42.2892,0.0125006,-4.40848,-4.42332,-4.39364,0.797912,3.88703,-418482,-457512,-379451,3.88703
29,40.9031,40.902,40.9042,0.012577,-4.56767,-4.58301,-4.55233,0.797789,3.8865,-439365,-486622,-392108,3.8865
30,39.5632,39.5621,39.5642,0.0127297,-4.71036,-4.7262,-4.69452,0.797731,3.85023,-447028,-503093,-390962,3.85023
31,38.2675,38.2665,38.2685,0.0132541,-4.83679,-4.85313,-4.82045,0.797638,3.85116,-441782,-507039,-376526,3.85116
32,37.0142,37.0132,37.0152,0.0137071,-4.94755,-4.96439,-4.93071,0.797499,3.84924,-425199,-499829,-350568,3.84924
33,35.8018,35.8008,35.8028,0.0142127,-5.04364,-5.06098,-5.0263,0.797408,3.84959,-399658,-483663,-315653,3.84959
34,34.6292,34.6282,34.6302,0.0146903,-5.12627,-5.14411,-5.10843,0.797244,3.84876,-367873,-461099,-274647,3.84876
35,33.495,33.494,33.496,0.0150934,-5.19681,-5.21515,-5.17847,0.797094,3.84736,-332484,-434657,-230312,3.84736
36,32.3979,32.3969,32.3989,0.0156085,-5.25663,-5.27547,-5.23779,0.796904,3.84746,-295789,-406551,-185026,3.84746
37,31.3368,31.3358,31.3378,0.0161591,-5.30708,-5.32642,-5.28774,0.796812,3.84599,-259599,-378544,-140655,3.84599
38,30.3104,30.3095,30.3114,0.0167057,-5.34943,-5.36927,-5.32959,0.796695,3.84676,-225219,-351917,-98521.2,3.84676
39,29.3177,29.3168,29.3187,0.0170763,-5.38483,-5.40517,-5.36449,0.796576,3.84463,-193485,-327505,-59463.7,3.84463
40,28.3576,28.3566,28.3586,0.0174057,-5.41434,-5.43518,-5.3935,0.796531,3.84582,-164848,-305777,-23918.6,3.84582
41,27.4289,27.4279,27.4299,0.0177655,-5.43885,-5.46019,-5.41751,0.796297,3.84412,-139468,-286917,7980.73,3.84412
