k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
0,-0.05,-0.15,0.05,0.01,0.7,0.699,0.701,0.8,3.95365,-2.86498,-3.01257,-2.7174,3.92722
1,-0.0483637,-0.145185,0.0484579,0.00957976,0.553625,0.549357,0.557893,0.800048,3.9534,-10.5121,-11.1518,-9.87238,3.92824
2,0.216733,0.111333,0.322134,0.00933069,0.450657,0.441735,0.459578,0.800047,3.91819,-21.2775,-23.3851,-19.1699,3.89352
3,0.832751,0.678623,0.98688,0.00953695,0.364631,0.348419,0.380843,0.799981,3.91674,-35.6618,-41.3672,-29.9564,3.89202
4,1.86307,1.5615,2.16463,0.00978876,0.286411,0.258833,0.313988,0.799919,3.91595,-54.6454,-68.4321,-40.8586,3.89129
5,3.30606,2.6603,3.95181,0.00996005,0.210232,0.164636,0.255828,0.799924,3.91516,-80.02,-111.385,-48.6552,3.89165
6,5.05073,3.73378,6.36769,0.0102,0.130811,0.0554639,0.206159,0.799809,3.9147,-115.296,-186.172,-44.4193,3.89152
7,6.87134,4.41687,9.32582,0.0103079,0.0431408,-0.0843901,0.170672,0.79971,3.91414,-166.954,-333.345,-0.562385,3.89119
8,8.49793,4.32096,12.6749,0.010525,-0.0565085,-0.28111,0.168093,0.799615,3.91356,-245.975,-660.903,168.954,3.89052
9,9.73576,3.17849,16.293,0.0107152,-0.169738,-0.582337,0.242861,0.799482,3.91296,-369.663,-1468.35,729.022,3.89154
10,10.5376,0.899813,20.1753,0.0108488,-0.296152,-1.08043,0.488127,0.79936,3.91246,-563.914,-3616.09,2488.26,3.89137
11,10.9699,-2.53033,24.4702,0.0110465,-0.434233,-1.96045,1.09198,0.799194,3.91217,-866.271,-9591.88,7859.34,3.89066
12,11.1331,-7.1622,29.4284,0.0112697,-0.582355,-3.59324,2.42853,0.799163,3.91163,-1330.73,-26591.8,23930.3,3.8897
13,11.1146,-13.1298,35.3591,0.0113371,-0.739389,-6.72127,5.24249,0.79903,3.91134,-2035.48,-75363,71292,3.88956
14,10.9791,-20.68,42.6381,0.0115192,-0.904767,-12.8305,11.021,0.799048,3.9111,-3094.05,-215438,209250,3.89044
15,10.7706,-30.2011,51.7423,0.0116539,-1.0783,-24.8937,22.7371,0.799069,3.91045,-4670.61,-616789,607448,3.88999
16,10.5184,-42.2539,63.2907,0.0116813,-1.25997,-48.856,46.3361,0.799,3.91007,-6999.93,-1.7623e+06,1.7483e+06,3.88906
17,10.2411,-57.6137,78.0959,0.0117495,-1.44982,-96.6081,93.7085,0.798954,3.90976,-10412.6,-5.01671e+06,4.99589e+06,3.89008
18,9.95092,-77.3314,97.2333,0.0118938,-1.64781,-191.931,188.636,0.798812,3.90932,-15364.1,-1.4216e+07,1.41852e+07,3.88795
19,9.65554,-102.819,122.131,0.0119458,-1.85377,-382.387,378.68,0.79881,3.90909,-22463,-4.0075e+07,4.003e+07,3.88908
20,9.35998,-135.97,154.69,0.0120792,-2.06728,-763.101,758.967,0.798661,3.90865,-32488.7,-1.12307e+08,1.12242e+08,3.88917
21,9.06746,-179.317,197.452,0.0121869,-2.28758,-1524.32,1519.75,0.798501,3.90837,-46383.1,-3.12588e+08,3.12495e+08,3.88802
22,8.78001,-236.266,253.826,0.0123713,-2.51355,-3046.55,3041.52,0.798346,3.90786,-65189.6,-8.63036e+08,8.62906e+08,3.88716
23,8.49892,-311.407,328.405,0.0124139,-2.74358,-6090.77,6085.28,0.798334,3.90783,-89917.5,-2.35994e+09,2.35976e+09,3.88796
24,8.22497,-410.981,427.431,0.0125484,-2.97563,-12179,12173,0.79817,3.90738,-121312,-6.37967e+09,6.37943e+09,3.88719
25,7.95859,-543.552,559.469,0.0126028,-3.20724,-24355.2,24348.8,0.798091,3.90727,-159550,-1.7016e+10,1.70156e+10,3.88813
26,7.7,-721.009,736.409,0.0126921,-3.43565,-48707.3,48700.5,0.797928,3.90689,-203912,-4.46896e+10,4.46892e+10,3.8879
27,7.44925,-960.087,974.986,0.0128256,-3.65795,-97411.4,97404.1,0.797882,3.9064,-252567,-1.15356e+11,1.15356e+11,3.8867
28,7.20631,-1284.68,1299.09,0.0129157,-3.8713,-194819,194812,0.797773,3.90642,-302560,-2.92204e+11,2.92203e+11,3.88782
29,6.97105,-1729.37,1743.31,0.0130816,-4.07309,-389635,389627,0.797735,3.9061,-350127,-7.25536e+11,7.25536e+11,3.88716
30,6.74333,-2344.99,2358.47,0.0132144,-4.26119,-779266,779257,0.797616,3.87006,-391287,-1.76497e+12,1.76497e+12,3.85135
31,6.52345,-3207.41,3220.46,0.013852,-4.43409,-1.55853e+06,1.55852e+06,0.797565,3.8685,-422510,-4.20599e+12,4.20599e+12,3.8502
32,6.3107,-4430.43,4443.05,0.014405,-4.59079,-3.11705e+06,3.11704e+06,0.797447,3.86732,-441393,-9.82348e+12,9.82348e+12,3.84863
33,6.10488,-6188.09,6200.3,0.0148349,-4.73099,-6.2341e+06,6.23409e+06,0.797396,3.86645,-447001,-2.25078e+13,2.25078e+13,3.84886
34,5.90578,-8749.36,8761.17,0.0153717,-4.85493,-1.24682e+07,1.24682e+07,0.797253,3.86555,-439874,-5.06556e+13,5.06556e+13,3.84725
35,5.71319,-12534.8,12546.2,0.0159503,-4.96334,-2.49364e+07,2.49364e+07,0.797084,3.86488,-421738,-1.12151e+14,1.12151e+14,3.84697
36,5.52689,-18209.8,18220.9,0.0164984,-5.05725,-4.98727e+07,4.98727e+07,0.796911,3.8639,-395055,-2.44663e+14,2.44663e+14,3.84632
37,5.3467,-26840.4,26851.1,0.0168421,-5.13792,-9.97455e+07,9.97454e+07,0.796779,3.86335,-362550,-5.26801e+14,5.26801e+14,3.84623
38,5.1724,-40154.2,40164.6,0.0173546,-5.20671,-1.99491e+08,1.99491e+08,0.796586,3.86257,-326825,-1.12135e+15,1.12135e+15,3.84607
39,5.00382,-60985.7,60995.7,0.0178074,-5.26499,-3.98982e+08,3.98982e+08,0.796498,3.86185,-290106,-2.36331e+15,2.36331e+15,3.84434
40,4.84077,-94040.6,94050.3,0.0182215,-5.31411,-7.97964e+08,7.97964e+08,0.796353,3.86116,-254128,-4.93848e+15,4.93848e+15,3.84377
41,4.68305,-147224,147234,0.0186779,-5.35531,-1.59593e+09,1.59593e+09,0.79616,3.86056,-220116,-1.02449e+16,1.02449e+16,3.84383
42,4.53051,-233969,233978,0.0190881,-5.38974,-3.19185e+09,3.19185e+09,0.796029,3.9683,-189040,-2.11186e+16,2.11186e+16,3.95107
43,4.38149,-376926,376935,0.0179229,-5.41824,-6.38371e+09,6.38371e+09,0.796057,3.97115,-161095,-4.33101e+16,4.33101e+16,3.95123
44,4.23736,-616412,616420,0.0168367,-5.44192,-1.27674e+10,1.27674e+10,0.796158,3.97313,-136396,-8.84379e+16,8.84379e+16,3.95387
45,4.09795,-1.02255e+06,1.02255e+06,0.0158674,-5.46154,-2.55348e+10,2.55348e+10,0.796223,3.97444,-114869,-1.79938e+17,1.79938e+17,3.9538
46,3.96311,-1.71932e+06,1.71933e+06,0.0148725,-5.47777,-5.10697e+10,5.10697e+10,0.796328,3.97599,-96316,-3.65012e+17,3.65012e+17,3.95494
47,3.83269,-2.92772e+06,2.92773e+06,0.013898,-5.49118,-1.02139e+11,1.02139e+11,0.796355,3.97731,-80470.9,-7.38603e+17,7.38603e+17,3.95715
48,3.70655,-5.04439e+06,5.0444e+06,0.0129751,-5.50224,-2.04279e+11,2.04279e+11,0.796494,3.97778,-67038.8,-1.49149e+18,1.49149e+18,3.95846
49,3.58454,-8.7857e+06,8.7857e+06,0.0121008,-5.51135,-4.08557e+11,4.08557e+11,0.796561,3.97909,-55720.9,-3.00669e+18,3.00669e+18,3.95753
50,3.46654,-1.54525e+07,1.54525e+07,0.0113092,-5.51885,-8.17115e+11,8.17115e+11,0.796687,3.94388,-46143,-6.05304e+18,6.05304e+18,3.92379
51,3.35289,-2.74367e+07,2.74367e+07,0.0110378,-5.52508,-1.63423e+12,1.63423e+12,0.796779,3.94363,-38143.7,-1.21717e+19,1.21717e+19,3.92317
52,3.24297,-4.90747e+07,4.90747e+07,0.0106639,-5.5302,-3.26846e+12,3.26846e+12,0.796769,3.94381,-31485.1,-2.44517e+19,2.44517e+19,3.92409
53,3.13665,-8.836e+07,8.836e+07,0.0103126,-5.53441,-6.53692e+12,6.53692e+12,0.7968,3.94391,-25957.6,-4.90819e+19,4.90819e+19,3.92358
54,3.03382,-1.60025e+08,1.60025e+08,0.00998002,-5.53787,-1.30738e+13,1.30738e+13,0.796755,3.94411,-21379.2,-9.84582e+19,9.84582e+19,3.92519
55,2.93436,-2.91287e+08,2.91287e+08,0.00966893,-5.54071,-2.61477e+13,2.61477e+13,0.796678,3.94384,-17594,-1.97401e+20,1.97401e+20,3.9253
56,2.83816,-5.32538e+08,5.32538e+08,0.00942011,-5.54304,-5.22953e+13,5.22953e+13,0.796713,3.94411,-14469.2,-3.95599e+20,3.95599e+20,3.9253
57,2.74511,-9.77222e+08,9.77222e+08,0.00904954,-5.54495,-1.04591e+14,1.04591e+14,0.796719,3.94426,-11892.7,-7.92509e+20,7.92509e+20,3.92503
58,2.65512,-1.79887e+09,1.79887e+09,0.00878797,-5.54652,-2.09181e+14,2.09181e+14,0.796799,3.94435,-9770.52,-1.58717e+21,1.58717e+21,3.92525
59,2.56807,-3.32012e+09,3.32012e+09,0.00843316,-5.54781,-4.18363e+14,4.18363e+14,0.796773,3.94443,-8023.92,-3.17788e+21,3.17788e+21,3.92715
60,2.48388,-6.14135e+09,6.14135e+09,0.00824796,-5.54887,-8.36725e+14,8.36725e+14,0.796728,3.94479,-6587.4,-6.36157e+21,6.36157e+21,3.9264
61,2.40245,-1.13807e+10,1.13807e+10,0.00788909,-5.54973,-1.67345e+15,1.67345e+15,0.796661,3.94494,-5406.59,-1.27327e+22,1.27327e+22,3.92601
62,2.32369,-2.1122e+10,2.1122e+10,0.00757638,-5.55045,-3.3469e+15,3.3469e+15,0.796578,3.94509,-4436.4,-2.5481e+22,2.5481e+22,3.92666
63,2.24751,-3.92501e+10,3.92501e+10,0.00732356,-5.55103,-6.6938e+15,6.6938e+15,0.796663,3.94524,-3639.56,-5.09877e+22,5.09877e+22,3.92791
64,2.17383,-7.30114e+10,7.30114e+10,0.00704065,-5.55151,-1.33876e+16,1.33876e+16,0.796571,3.94528,-2985.29,-1.02018e+23,1.02018e+23,3.92791
