k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
1,0.0117556,-0.0183346,0.0418458,0.00872339,0.507565,0.484051,0.531078,0.800168,7.60467,7.06637,6.86757,7.26518,7.60467
2,-0.239985,-0.323409,-0.15656,0.00860796,0.430727,0.38982,0.471634,0.800218,7.60464,5.94234,5.53039,6.35429,7.60464
3,-0.79025,-1.05856,-0.521936,0.00877768,0.354303,0.28675,0.421856,0.800039,7.60282,5.92231,5.28243,6.56219,7.60282
4,-1.75975,-2.44718,-1.07233,0.00864797,0.252642,0.140387,0.364898,0.800152,7.60379,6.28807,5.31224,7.2639,7.60379
5,-3.51507,-5.15519,-1.87496,0.00874894,0.0915542,-0.108384,0.291493,0.800174,7.60388,7.1416,5.45791,8.82528,7.60388
6,-7.06088,-10.8192,-3.30253,0.00869772,-0.208598,-0.587657,0.170461,0.800117,7.60374,8.99397,6.03768,11.9503,7.60374
k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
1,0.0117559,-0.0183343,0.0418461,0.0086404,0.507753,0.484239,0.531266,0.80015,7.6039,7.06639,6.86758,7.26519,7.6039
2,-0.239889,-0.323299,-0.156479,0.00862614,0.430928,0.390021,0.471834,0.800125,7.6031,5.94311,5.53117,6.35506,7.6031
3,-0.791022,-1.05927,-0.522775,0.00874047,0.354375,0.286827,0.421923,0.800061,7.60266,5.92277,5.2829,6.56264,7.60266
4,-1.76349,-2.45084,-1.07615,0.00864238,0.252406,0.140157,0.364656,0.800231,7.60467,6.28892,5.31313,7.26471,7.60467
k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
1,0.0117567,-0.0183335,0.0418469,0.0087436,0.507752,0.484238,0.531266,0.800111,7.60394,7.06639,6.86759,7.26519,7.60394
2,-0.239112,-0.322522,-0.155702,0.00859248,0.431165,0.390258,0.472071,0.800104,7.60388,5.94314,5.53119,6.35509,7.60388
3,-0.790317,-1.05849,-0.522147,0.00869622,0.35459,0.287047,0.422133,0.800185,7.60418,5.92268,5.28282,6.56253,7.60418
4,-1.76284,-2.44997,-1.07572,0.00865148,0.252608,0.140374,0.364842,0.800059,7.60183,6.28858,5.31286,7.2643,7.60183
5,-3.52031,-5.16024,-1.88037,0.0087364,0.0913278,-0.108595,0.29125,0.800045,7.60225,7.1446,5.4612,8.828,7.60225
6,-7.07214,-10.8311,-3.31318,0.00865198,-0.209315,-0.588412,0.169782,0.800045,7.60245,8.99947,6.04326,11.9557,7.60245
7,-15.3038,-23.9804,-6.62714,0.00874351,-0.864564,-1.63498,-0.0941458,0.800105,7.60265,13.489,7.84313,19.135,7.60265
k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
1,0.0117551,-0.0183351,0.0418453,0.00867323,0.508192,0.484678,0.531706,0.800221,7.60371,7.0664,6.8676,7.2652,7.60371
2,-0.23984,-0.323217,-0.156464,0.00873982,0.431345,0.390441,0.472249,0.800208,7.60427,5.94491,5.53297,6.35685,7.60427
3,-0.791303,-1.05941,-0.523194,0.00875224,0.354726,0.287187,0.422264,0.800077,7.60278,5.92389,5.28405,6.56372,7.60278
4,-1.76379,-2.45081,-1.07678,0.00871626,0.25274,0.140515,0.364966,0.800159,7.60279,6.28975,5.31408,7.26542,7.60279
5,-3.52218,-5.1618,-1.88255,0.00867307,0.0913696,-0.10853,0.291269,0.800133,7.60425,7.14553,5.46232,8.82873,7.60425
6,-7.0732,-10.8317,-3.3147,0.00859488,-0.209215,-0.588277,0.169848,0.800103,7.60233,9.00121,6.04535,11.9571,7.60233
7,-15.3059,-23.9813,-6.63061,0.0086689,-0.864566,-1.63489,-0.0942405,0.800069,7.60305,13.4896,7.84448,19.1347,7.60305
8,-30.9584,-52.2202,-9.6965,0.00862892,-2.0576,-3.77958,-0.335625,0.800047,7.60205,25.5961,8.39996,42.7923,7.60205
9,-43.2176,-90.9468,4.51157,0.00863381,-2.98665,-6.61119,0.637887,0.800097,7.60224,43.9051,-37.7354,125.546,7.60224
10,-48.3927,-143.334,46.5488,0.00863595,-3.41221,-10.1881,3.36369,0.800121,7.60413,41.7575,-237.635,321.15,7.60413
11,-49.888,-211.788,112.012,0.00860331,-3.59965,-14.6428,7.44353,0.800155,7.6031,32.1616,-608.122,672.445,7.6031
12,-49.8695,-294.326,194.587,0.0087097,-3.69501,-19.9315,12.5415,0.800066,7.60173,25.1386,-1123.61,1173.89,7.60173
13,-49.1767,-388.878,290.525,0.00877496,-3.74986,-26.0204,18.5206,0.800059,7.60162,20.2896,-1765.46,1806.04,7.60162
14,-48.1503,-492.772,396.471,0.00876976,-3.78392,-32.8428,25.2749,0.800191,7.60441,16.675,-2496.53,2529.88,7.60441
15,-46.9477,-605.677,511.781,0.00874194,-3.80594,-40.4701,32.8582,0.8002,7.60474,13.7912,-3343.67,3371.25,7.60474
16,-45.6506,-726.925,635.623,0.00867716,-3.82031,-48.9618,41.3211,0.800185,7.60312,11.3799,-4295.75,4318.51,7.60312
17,-44.3057,-855.277,766.666,0.00871648,-3.82946,-58.3504,50.6915,0.800045,7.60138,9.30016,-5329.16,5347.76,7.60138
18,-42.9411,-990.697,904.815,0.00867831,-3.83486,-68.7489,61.0792,0.800097,7.60368,7.46886,-6481.37,6496.31,7.60368
19,-41.5754,-1133.18,1050.03,0.00871891,-3.83742,-80.2852,72.6103,0.800053,7.60264,5.83477,-7763.46,7775.13,7.60264
20,-40.2206,-1282.57,1202.13,0.00864547,-3.83778,-93.0902,85.4146,0.800063,7.6017,4.36384,-9179.51,9188.24,7.6017
21,-38.885,-1438.8,1361.03,0.0086394,-3.83635,-107.316,99.643,0.800088,7.60316,3.03263,-10746.9,10753,7.60316
22,-37.5744,-1601.81,1526.66,0.00867901,-3.83344,-123.13,115.463,0.800187,7.60317,1.82434,-12481.4,12485.1,7.60317
23,-36.2928,-1771.47,1698.88,0.00872592,-3.82929,-140.711,133.052,0.80019,7.60482,0.726358,-14394.9,14396.4,7.60482
24,-35.0432,-1950.32,1880.23,0.00864667,-3.82408,-160.478,152.83,0.800089,7.60239,-0.271474,-16694.2,16693.7,7.60239
25,-33.8274,-2135.62,2067.96,0.00870787,-3.81796,-182.446,174.81,0.800204,7.60487,-1.17779,-19048.7,19046.4,7.60487
26,-32.6467,-2330.25,2264.95,0.0087874,-3.81104,-207.133,199.511,0.80004,7.60157,-1.99993,-21892.1,21888.1,7.60157
27,-31.5018,-2531.16,2468.16,0.00860028,-3.80343,-234.549,226.942,0.800111,7.60308,-2.744,-24787.7,24782.2,7.60308
28,-30.393,-2739.04,2678.25,0.00859453,-3.79521,-265.062,257.471,0.800088,7.60195,-3.41605,-28052.1,28045.3,7.60195
29,-29.3203,-2953.25,2894.61,0.00875689,-3.78645,-298.936,291.363,0.800076,7.60276,-4.02111,-31598.3,31590.3,7.60276
30,-28.2834,-3177.42,3120.85,0.00859561,-3.77723,-336.954,329.4,0.800077,7.60243,-4.56388,-35918,35908.9,7.60243
31,-27.2818,-3405.74,3351.18,0.0087484,-3.76761,-378.842,371.307,0.800138,7.60275,-5.04937,-40018.5,40008.4,7.60275
32,-26.315,-3642.96,3590.33,0.00874406,-3.75763,-425.612,418.097,0.800059,7.60243,-5.48159,-45126.3,45115.3,7.60243
33,-25.3821,-3886.55,3835.79,0.00869142,-3.74734,-477.422,469.928,0.800039,7.60231,-5.8644,-50429.7,50417.9,7.60231
34,-24.4825,-4137.14,4088.17,0.00869028,-3.73679,-534.868,527.394,0.800124,7.60403,-6.20173,-56354.3,56341.9,7.60403
35,-23.6151,-4397.4,4350.17,0.00877313,-3.72601,-598.945,591.493,0.800052,7.60211,-6.49698,-63302.7,63289.7,7.60211
